V_region,TRBJ1-1,TRBJ1-5,TRBJ2-3,TRBJ2-5,TRBJ1-6,TRBJ1-2,TRBJ1-4,TRBJ2-7,TRBJ2-2,TRBJ2-1,TRBJ1-3,TRBJ2-4,TRBJ2-6
TRBV12-3,0.007235282916666676,0.00198463125,0.002814372083333333,0.001587204583333335,0.0006350870833333332,0.0015224383333333337,0.0005378337499999999,0.003530733333333329,0.0010237508333333335,0.0045605149999999985,0.0004168737500000001,0.0005265979166666669,0.0003876820833333335
TRBV29-1,0.009529624583333295,0.0038443891666666615,0.0116662558333333,0.007269173333333344,0.0005514891666666664,0.0043768516666666665,0.0014276299999999996,0.010710346666666579,0.004862697916666666,0.011203185416666575,0.0006424041666666664,0.000924856666666667,0.0011482566666666662
TRBV30,0.0010765866666666672,0.000717652083333333,0.0010453049999999994,0.0004649554166666664,0.0022356933333333327,0.0006934466666666669,0.00021533666666666672,0.0018858204166666672,0.00139508875,0.0015416370833333329,0.00018960083333333336,0.00029810875000000004,0.00015536499999999997
TRBV7-2,0.004280315833333338,0.002633688333333329,0.006933822916666684,0.005508241250000009,0.001189715,0.0019762249999999994,0.0014652770833333323,0.007793335416666692,0.001120570833333333,0.007971965416666699,0.0005676683333333331,0.0006560870833333331,0.001155485833333333
TRBV28,0.006623612916666677,0.004232245416666668,0.007814697916666696,0.0049654004166666795,0.0012521533333333334,0.004326383750000006,0.0009195929166666659,0.053994157916666646,0.0016637662499999976,0.017904183750000073,0.0008063425,0.0011945012499999987,0.0041507958333333326
TRBV3-1,0.0014884908333333317,0.0006338949999999999,0.0017062170833333332,0.0022455212499999993,0.00032273291666666656,0.001039859166666666,0.00022952166666666667,0.0030479987499999984,0.009599306666666663,0.0032731837499999994,0.0002560087500000001,0.0009078354166666662,0.0004725150000000002
TRBV6-5,0.002840212916666667,0.0013151858333333337,0.0026591062500000012,0.0017624095833333327,0.0005880675,0.001232247499999999,0.000550302083333333,0.006869899166666684,0.0016524045833333334,0.0037793137499999977,0.00025884666666666666,0.0002330645833333333,0.0005806454166666665
TRBV18,0.001895711666666666,0.0007577237499999998,0.0029504274999999965,0.0014761012499999997,0.00029417208333333344,0.0014797091666666662,0.0003353758333333333,0.0040676700000000085,0.0004575070833333331,0.0026554049999999944,0.00022280041666666666,0.00020705208333333334,0.0003644404166666666
TRBV20-1,0.009805160833333338,0.006825262916666684,0.012079806666666717,0.010570271666666697,0.00282446625,0.00451214958333333,0.0019054866666666677,0.023396491666666606,0.003145921250000002,0.034282539583333466,0.0015475999999999997,0.0018848375000000007,0.0009338566666666666
TRBV12-4,0.003022002083333331,0.0019323408333333327,0.0021286645833333345,0.0016638791666666662,0.0004980962499999999,0.0011766483333333325,0.0003946712500000003,0.0043108304166666715,0.0008913416666666666,0.004140580833333336,0.00031260791666666663,0.0002698037499999998,0.0003632716666666667
TRBV5-1,0.0022085695833333366,0.0007283054166666672,0.004773720833333345,0.002814560416666665,0.0006694491666666666,0.0009127487499999996,0.00035875333333333333,0.004098473750000004,0.0010444666666666667,0.006717336250000024,0.00022357166666666669,0.00034858541666666666,0.00040536541666666686
TRBV10-3,0.0012779104166666664,0.0012195941666666675,0.0028862058333333344,0.0009653191666666664,0.00032036708333333324,0.0005221454166666666,0.0003937745833333333,0.003087449583333334,0.0005111512499999999,0.003352871666666663,0.00025785125,0.00031810083333333336,0.00034982000000000014
TRBV27,0.0030016774999999996,0.002757659583333334,0.006259889583333337,0.0019516716666666668,0.0007551895833333327,0.002032949166666669,0.0005845866666666666,0.006036414999999998,0.0018678345833333329,0.006103808750000013,0.0003760854166666666,0.0006189408333333334,0.000795972083333334
TRBV12-5,0.00039634125,0.00036226625,0.00021112000000000008,0.00025185875,2.572083333333333e-05,0.0001597279166666667,1.7145833333333334e-05,0.00036547916666666673,0.00011328041666666669,0.0006330762499999995,1.4180833333333335e-05,2.0995416666666666e-05,5.095333333333333e-05
TRBV6-6,0.0011304987499999987,0.001062739583333332,0.0013597058333333332,0.0008586733333333332,0.00035035583333333317,0.0007673499999999995,0.000316815,0.002063240416666668,0.0005564583333333335,0.0010882716666666666,0.0002326154166666666,0.00010013458333333335,0.0003630566666666666
TRBV2,0.0030731316666666674,0.0016922158333333333,0.0074609383333333334,0.0017422408333333333,0.0003290383333333333,0.0007669100000000001,0.000360025,0.017869017916666684,0.010122748333333325,0.003580305000000005,0.0001583070833333334,0.0004783695833333333,0.0006265816666666663
TRBV7-8,0.0010667920833333326,0.001817285833333332,0.002120181249999999,0.002709265416666667,0.00020571166666666664,0.0004266041666666667,0.0002816416666666666,0.006996369166666669,0.0008783945833333334,0.003028707499999999,0.0020410495833333335,0.00025381583333333345,0.00032918624999999974
TRBV4-1,0.0013494445833333313,0.0007612437499999993,0.0016700808333333338,0.0009267720833333336,0.00023254,0.0007005608333333329,0.0003091837500000001,0.002518230833333337,0.0007176829166666666,0.0023118687500000047,0.0002054066666666667,0.00021993791666666666,0.00025338
TRBV19,0.0009725374999999996,0.003183184583333331,0.0012203391666666663,0.0006272420833333328,0.00020789708333333342,0.0009450249999999999,0.00021680791666666669,0.002495738750000003,0.0010830079166666655,0.004339747083333345,0.0002214533333333333,0.00025096583333333346,0.0007440487500000004
TRBV7-9,0.003989122083333334,0.0017840020833333311,0.004338115833333334,0.003171164583333331,0.0012234237499999991,0.0020572712500000027,0.0013026254166666662,0.005896779583333338,0.0014462962499999996,0.007171901250000011,0.0007256562500000005,0.0038414666666666663,0.0005877429166666667
TRBV7-6,0.0008016129166666663,0.0002601408333333334,0.0013816208333333336,0.0011654962499999992,0.00024821416666666676,0.00020851,0.00019170375000000006,0.005393259583333347,0.0010139916666666662,0.002238807916666667,0.0001327525,8.940750000000001e-05,0.0007498583333333335
TRBV6-1,0.0010459054166666666,0.0011265883333333344,0.003074968750000003,0.0007421145833333332,0.0002823966666666667,0.0004623737500000001,0.0002782808333333331,0.0023096308333333372,0.0012561999999999996,0.002236171666666666,0.0001497329166666667,0.00024167666666666658,0.0002771604166666666
TRBV10-2,0.0005239650000000002,0.00020285708333333332,0.0005471670833333334,0.0001921208333333334,6.32175e-05,0.00019761625,5.182916666666666e-05,0.0006475054166666664,0.00017898250000000004,0.0007645795833333331,5.1264999999999984e-05,3.0397499999999995e-05,7.298916666666666e-05
TRBV24-1,0.0004000833333333333,0.005468553750000005,0.002238458333333334,0.004407394583333331,2.462166666666667e-05,0.0014226950000000003,6.118291666666666e-05,0.0007710716666666669,0.0023180924999999988,0.003725470416666658,0.00026413166666666666,9.517666666666667e-05,0.00018085958333333323
TRBV4-3,0.003591697500000002,0.0017344241666666655,0.02447968583333335,0.00600332625,0.0007269091666666669,0.001770257083333333,0.0006109154166666663,0.006535043749999982,0.00134215625,0.010468787083333302,0.0022593037500000003,0.0002182991666666667,0.0045014370833333355
TRBV14,0.0009208695833333332,7.3035e-05,0.0010199991666666667,0.0004653862499999999,0.00023643916666666662,0.0004375108333333332,0.00043430916666666665,0.0015584670833333313,0.00027893666666666656,0.0015368437500000002,0.00011019833333333332,0.00010832166666666669,0.00014993000000000002
TRBV7-3,0.0008125504166666667,0.00030642416666666665,0.001391691666666667,0.00036304458333333344,0.00018767333333333345,0.00023697291666666668,2.887208333333333e-05,0.002444232499999999,0.0006170804166666667,0.0019492854166666656,1.6241250000000003e-05,2.136208333333333e-05,0.00014054291666666666
TRBV13,0.0009532125000000001,0.00012022625000000003,0.0010907649999999998,0.0003731958333333334,7.741666666666669e-05,0.0003526391666666669,0.00032672791666666674,0.0023502787499999982,0.0011310449999999987,0.0018480354166666678,0.0003695458333333334,0.0008716779166666668,9.851291666666667e-05
TRBV10-1,0.00018124375,5.4165833333333336e-05,0.0004045770833333333,0.00012805833333333336,1.1369583333333334e-05,3.7078750000000005e-05,2.9620833333333333e-06,0.0003223725,0.00014164874999999995,0.0023075529166666675,2.729958333333333e-05,4.765583333333333e-05,1.591e-05
TRBV11-2,0.0011913595833333327,0.0003066591666666666,0.002848525416666666,0.0030110262500000007,0.00019431083333333333,0.0007551458333333333,0.0003065241666666668,0.0022818824999999987,0.0007697320833333339,0.02146421958333334,0.00012822375000000005,0.0005110800000000001,0.0003465816666666665
TRBV6-4,0.0006258979166666666,0.0003002883333333333,0.0034286929166666667,9.68425e-05,0.00024164999999999996,0.00014505208333333332,2.86325e-05,0.00013837249999999998,0.0030930112500000017,0.0038310041666666664,8.112916666666667e-06,1.9019166666666666e-05,0.0004068716666666665
TRBV5-5,0.0006141708333333333,0.00039866416666666687,0.0005689474999999997,0.00029699874999999985,0.00010342208333333334,0.00029830541666666657,0.0001150029166666667,0.0010597879166666657,0.00019420625,0.0008493666666666669,3.2833333333333336e-05,6.879624999999999e-05,0.0007754266666666667
TRBV9,0.0017013312500000009,0.0005554070833333331,0.0020586441666666654,0.0011422633333333333,0.0002970766666666665,0.0008461270833333327,0.00022128625,0.002350280000000005,0.0010630312499999989,0.0031115995833333344,0.0003294245833333335,0.00020128708333333332,0.0002235308333333333
TRBV6-3,0.0023696999999999985,0.00124713,0.00083007125,0.0004941245833333334,0.00019045291666666662,0.0007727241666666666,7.238125e-05,0.0014595533333333337,0.0006063487500000001,0.006630668749999999,3.5283333333333335e-05,0.00012202374999999998,0.001246966666666667
TRBV11-3,0.00041981833333333335,7.184874999999999e-05,0.000538435416666667,0.0036773608333333335,2.3700416666666668e-05,4.180666666666667e-05,4.0353749999999996e-05,0.0004005754166666666,0.0003191966666666664,0.0012023050000000005,2.479166666666666e-05,0.00021548875000000002,5.032291666666666e-05
TRBV5-6,0.000779810416666667,0.00046952708333333363,0.00139469625,0.000601554583333333,0.00020361500000000004,0.0003237270833333333,7.220125e-05,0.0010525349999999998,0.00034030375,0.0016505333333333325,0.00012508666666666667,0.0005451716666666665,0.0001547320833333333
TRBV15,0.0004966470833333334,0.0005116958333333333,0.005677178750000011,0.0014792604166666671,0.00017695374999999997,0.00041113625000000013,0.0002666475000000001,0.0009388549999999997,0.0004677595833333333,0.0013595595833333345,0.00013685916666666663,0.00017097125,0.0005067299999999999
TRBV5-4,0.0007968841666666663,0.00014542875,0.0016022358333333347,0.001069935416666667,0.00017754541666666662,0.0003165604166666667,0.00013827624999999998,0.0013362020833333345,0.00048050208333333345,0.0026147824999999993,5.366708333333332e-05,0.00017885708333333336,0.00017231125
TRBV25-1,0.0007269529166666668,0.00015490666666666673,0.0006144654166666665,0.00036927291666666653,0.000795712083333333,0.0002887420833333334,0.00013303541666666668,0.002345350416666667,0.0005450179166666667,0.0015812720833333325,6.370166666666667e-05,7.682833333333332e-05,0.00010720708333333335
TRBV6-2,0.0021503845833333334,0.0015437250000000012,0.004115852916666662,0.0015858029166666665,0.0009107016666666666,0.0005680920833333331,0.0001704504166666667,0.001984237916666666,0.0009486724999999998,0.003006904583333334,5.199833333333334e-05,0.00013172958333333335,0.00041626250000000015
TRBV6-9,1.8745833333333333e-05,7.807083333333332e-06,1.6246666666666665e-05,2.234166666666667e-05,8.090416666666666e-06,1.189e-05,1.0841666666666667e-06,4.8799583333333336e-05,1.1023333333333333e-05,2.686333333333334e-05,2.8654166666666664e-06,4.1754166666666666e-06,0.0
TRBV7-7,7.883208333333332e-05,8.876666666666666e-06,0.0004130416666666665,0.0003464854166666667,2.1302083333333334e-05,1.626375e-05,5.291666666666666e-07,0.00020753875000000007,0.0001494575,0.0004539154166666668,4.581541666666667e-05,1.0920416666666666e-05,1.4012083333333336e-05
TRBV11-1,0.0002192804166666667,2.2365833333333335e-05,0.00012664791666666664,0.00011210500000000003,1.4721666666666667e-05,4.566708333333334e-05,1.4357916666666667e-05,0.00035541625,0.00014539083333333334,0.0006062887499999998,4.863333333333333e-06,4.09375e-06,4.425041666666667e-05
TRBV4-2,0.0007914512500000004,0.00036590208333333343,0.0022623524999999998,0.00047450833333333316,0.00023731125000000006,0.0005257070833333332,0.0003304245833333333,0.005597367916666663,0.0006258266666666666,0.0016819945833333344,0.00013212166666666666,0.00017399499999999998,0.00045393999999999984
TRBV16,6.667833333333335e-05,0.00016490458333333338,6.469083333333335e-05,0.004147985833333331,4.776625e-05,3.0653750000000004e-05,1.97425e-05,0.00027993041666666673,0.00010275874999999999,0.00015624750000000002,3.1687499999999995e-06,1.7489583333333333e-05,1.5068333333333333e-05
TRBV5-8,0.0002539425,8.557791666666666e-05,0.00023595291666666672,8.555916666666669e-05,1.6715000000000002e-05,5.681625e-05,1.1740416666666667e-05,0.0001907529166666667,9.232500000000002e-05,0.0001922720833333333,7.939583333333333e-06,1.5402916666666668e-05,2.3308333333333332e-05
TRBV7-4,4.457916666666667e-06,1.8666666666666665e-05,9.525666666666667e-05,1.1509583333333334e-05,7.227083333333334e-06,1.0325833333333332e-05,0.0,6.946166666666667e-05,0.0,2.90725e-05,5.58925e-05,3.8475e-06,1.2764583333333333e-05
TRBV21-1,1.1848333333333333e-05,2.1124583333333334e-05,1.661e-05,1.2241666666666668e-05,1.8733333333333335e-06,2.6767499999999997e-05,3.037916666666667e-06,4.359708333333333e-05,1.6627916666666667e-05,7.546500000000001e-05,5.144583333333333e-06,3.5179166666666665e-06,3.5475e-06
TRBV3-2,8.566666666666667e-06,1.0814583333333333e-05,6.032916666666666e-06,0.0,0.0,2.0254166666666664e-06,0.0,3.2595833333333334e-06,3.342083333333333e-06,4e-06,0.0,0.0,0.0
TRBV23-1,2.3890416666666668e-05,4.714583333333334e-06,4.91125e-06,2.2725833333333332e-05,0.0,9.7725e-06,4.984583333333334e-06,1.1317916666666667e-05,2.0120833333333335e-06,0.00020849583333333336,0.0,0.0,7.7875e-07
TRBV1,4.5916666666666663e-07,2.531666666666667e-06,0.0,0.0,0.0,0.0,0.0,1.6229166666666667e-06,1.5583333333333334e-06,1.8229166666666666e-06,0.0,0.0,0.0
TRBV5-3,0.0,3.18125e-06,3.2745833333333333e-06,0.0,4.253333333333333e-06,1.9241666666666667e-06,0.0,1.44e-06,0.0,0.0,5.670833333333333e-06,0.0,0.0
TRBV24,7.7875e-07,1.0095833333333333e-06,4.0904166666666665e-06,2.2066666666666666e-06,0.0,0.0,0.0,3.44125e-06,3.1249999999999997e-06,1.6970833333333331e-06,0.0,0.0,0.0
TRBV12-2,0.0,0.0,0.0,0.0,1.9479166666666667e-06,0.0,3.08875e-06,0.0,0.0,3.310833333333333e-06,1.2405416666666667e-05,0.0,0.0
TRBV23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1683333333333333e-06,1.4833333333333332e-06,3.635e-06,0.0,0.0,0.0
TRBV5-7,0.0,0.0,6.683749999999999e-06,0.0,0.0,0.0,0.0,1.8825e-06,0.0,0.0,0.0,0.0,0.0
TRBV6-8,2.928333333333333e-06,0.0,0.0,2.5475833333333334e-05,0.0,0.0,8.306666666666666e-06,2.801666666666667e-06,3.818333333333333e-06,9.2325e-06,0.0,0.0,0.0
TRBV6-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.615416666666667e-06,0.0,4.910833333333333e-06,0.0,9.091666666666667e-07,0.0
TRBV7-1,0.0,0.0,0.0,1.92e-06,0.0,0.0,0.0,5.841666666666666e-07,0.0,1.8733333333333335e-06,0.0,0.0,0.0
